"","Response","Context","Subject","Item","Rater","ContextIPA"
"57","2","isolation","p01","nuu7-v","R02","Isolation"
"58","3","3--3","p01","3oo3-w","R02","<U+0295>-<U+0295>"
"59","2","isolation","p01","3oo3-v","R02","Isolation"
"60","3","o-7","p01","loo7-w","R02","o-h"
"61","4","o-3","p01","bii3-w","R02","o-<U+0295>"
"62","2","isolation","p01","bii3-v","R02","Isolation"
"63","3","o-7","p01","zii7-w","R02","o-h"
"64","5","3-n","p01","3oon-w","R02","<U+0295>-n"
"65","5","n-n","p01","noom-w","R02","n-n"
"66","5","n-n","p01","muun-w","R02","n-n"
"67","5","n-o","p01","muus-w","R02","n-o"
"68","4","n-o","p01","mooz-w","R02","n-o"
"69","5","7-o","p01","7ook-w","R02","h-o"
"70","5","7-n","p01","7oom-w","R02","h-n"
"71","4","3-o","p01","3aaf-w","R02","<U+0295>-o"
"72","5","n-7","p01","naa7-w","R02","n-h"
"73","2","isolation","p01","naa7-v","R02","Isolation"
"74","5","n-n","p01","naam-w","R02","n-n"
"75","3","isolation","p01","naam-v","R02","Isolation"
"76","4","o-n","p01","doom-w","R02","o-n"
"77","2","isolation","p01","doom-v","R02","Isolation"
"78","5","3-o","p01","3eeb-w","R02","<U+0295>-o"
"79","4","isolation","p01","3eeb-v","R02","Isolation"
"80","5","3-n","p01","3aam-w","R02","<U+0295>-n"
"81","5","7-o","p01","7aad-w","R02","h-o"
"82","5","3-n","p01","3een-w","R02","<U+0295>-n"
"83","5","3-o","p01","3iish-w","R02","<U+0295>-o"
"84","5","7-o","p01","7eef-w","R02","h-o"
"85","5","isolation","p01","7eef-v","R02","Isolation"
"86","5","o-n","p01","saam-w","R02","o-n"
"87","3","isolation","p01","saam-v","R02","Isolation"
"88","3","o-3","p01","baa3-w","R02","o-<U+0295>"
"89","2","o-o","p01","beet-w","R02","o-o"
"90","2","o-o","p01","boosh-w","R02","o-o"
"91","5","n-3","p05","noo3-w","R02","n-<U+0295>"
"92","4","isolation","p05","noo3-v","R02","Isolation"
"93","4","o-o","p05","daas-w","R02","o-o"
"94","5","n-o","p05","maat-w","R02","n-o"
"95","3","isolation","p05","maat-v","R02","Isolation"
"96","4","7-n","p05","7en-w","R02","h-n"
"97","4","o-n","p05","diin-w","R02","o-n"
"98","3","o-7","p05","zaa7-w","R02","o-h"
"99","4","o-3","p05","djuu3-w","R02","o-<U+0295>"
"100","2","isolation","p05","djuu3-v","R02","Isolation"
"101","5","n-7","p05","nuu7-w","R02","n-h"
"102","2","isolation","p05","nuu7-v","R02","Isolation"
"103","4","3--3","p05","3oo3-w","R02","<U+0295>-<U+0295>"
"104","3","isolation","p05","3oo3-v","R02","Isolation"
"105","2","o-7","p05","loo7-w","R02","o-h"
"106","3","o-3","p05","bii3-w","R02","o-<U+0295>"
"107","3","isolation","p05","bii3-v","R02","Isolation"
"108","4","o-7","p05","zii7-w","R02","o-h"
"109","5","n-n","p05","noom-w","R02","n-n"
"110","5","n-n","p05","muun-w","R02","n-n"
"111","5","n-o","p05","muus-w","R02","n-o"
"112","5","n-o","p05","mooz-w","R02","n-o"
"113","4","7-o","p05","7ook-w","R02","h-o"
"114","4","7-n","p05","7oom-w","R02","h-n"
"115","4","3-o","p05","3aaf-w","R02","<U+0295>-o"
"116","5","n-7","p05","naa7-w","R02","n-h"
"117","3","isolation","p05","naa7-v","R02","Isolation"
"118","5","n-n","p05","naam-w","R02","n-n"
"119","2","isolation","p05","naam-v","R02","Isolation"
"120","5","o-n","p05","doom-w","R02","o-n"
"121","2","isolation","p05","doom-v","R02","Isolation"
"122","5","3-n","p05","3oon-w","R02","<U+0295>-n"
"123","5","3-o","p05","3eeb-w","R02","<U+0295>-o"
"124","2","isolation","p05","3eeb-v","R02","Isolation"
"125","5","o-n","p05","saam-w","R02","o-n"
"126","3","isolation","p05","saam-v","R02","Isolation"
"127","5","3-n","p05","3aam-w","R02","<U+0295>-n"
"128","3","7-o","p05","7aad-w","R02","h-o"
"129","5","3-n","p05","3een-w","R02","<U+0295>-n"
"130","4","3-o","p05","3iish-w","R02","<U+0295>-o"
"131","4","7-o","p05","7eef-w","R02","h-o"
"132","3","isolation","p05","7eef-v","R02","Isolation"
"133","3","o-3","p05","baa3-w","R02","o-<U+0295>"
"134","1","o-o","p05","beet-w","R02","o-o"
"135","2","o-o","p05","boosh-w","R02","o-o"
"136","5","n-3","p02","noo3-w","R02","n-<U+0295>"
"137","3","isolation","p02","noo3-v","R02","Isolation"
"138","4","o-o","p02","daas-w","R02","o-o"
"139","5","n-o","p02","maat-w","R02","n-o"
"140","3","isolation","p02","maat-v","R02","Isolation"
"141","4","7-n","p02","7en-w","R02","h-n"
"142","5","o-n","p02","diin-w","R02","o-n"
"143","2","o-7","p02","zaa7-w","R02","o-h"
"144","3","o-3","p02","djuu3-w","R02","o-<U+0295>"
"145","2","isolation","p02","djuu3-v","R02","Isolation"
"146","5","n-7","p02","nuu7-w","R02","n-h"
"147","1","isolation","p02","nuu7-v","R02","Isolation"
"148","3","3--3","p02","3oo3-w","R02","<U+0295>-<U+0295>"
"149","4","isolation","p02","3oo3-v","R02","Isolation"
"150","4","o-7","p02","loo7-w","R02","o-h"
"151","4","o-3","p02","bii3-w","R02","o-<U+0295>"
"152","2","isolation","p02","bii3-v","R02","Isolation"
"153","3","o-7","p02","zii7-w","R02","o-h"
"154","5","n-o","p02","muus-w","R02","n-o"
"155","5","n-o","p02","mooz-w","R02","n-o"
"156","3","7-o","p02","7ook-w","R02","h-o"
"157","5","7-n","p02","7oom-w","R02","h-n"
"158","5","n-7","p02","naa7-w","R02","n-h"
"159","5","3-o","p02","3aaf-w","R02","<U+0295>-o"
"160","5","isolation","p02","naa7-v","R02","Isolation"
"161","5","n-n","p02","naam-w","R02","n-n"
"162","4","isolation","p02","naam-v","R02","Isolation"
"163","5","o-n","p02","doom-w","R02","o-n"
"164","3","isolation","p02","doom-v","R02","Isolation"
"165","5","3-n","p02","3oon-w","R02","<U+0295>-n"
"166","5","n-n","p02","noom-w","R02","n-n"
"167","5","n-n","p02","muun-w","R02","n-n"
"168","5","3-o","p02","3eeb-w","R02","<U+0295>-o"
"169","5","o-n","p02","saam-w","R02","o-n"
"170","5","isolation","p02","saam-v","R02","Isolation"
"171","5","isolation","p02","3eeb-v","R02","Isolation"
"172","5","3-n","p02","3aam-w","R02","<U+0295>-n"
"173","5","7-o","p02","7aad-w","R02","h-o"
"174","5","3-n","p02","3een-w","R02","<U+0295>-n"
"175","4","3-o","p02","3iish-w","R02","<U+0295>-o"
"176","4","7-o","p02","7eef-w","R02","h-o"
"177","5","isolation","p02","7eef-v","R02","Isolation"
"178","4","o-3","p02","baa3-w","R02","o-<U+0295>"
"179","3","o-o","p02","beet-w","R02","o-o"
"180","2","o-o","p02","boosh-w","R02","o-o"
"181","5","n-3","p03","noo3-w","R02","n-<U+0295>"
"182","2","isolation","p03","noo3-v","R02","Isolation"
"183","2","o-o","p03","daas-w","R02","o-o"
"184","4","n-o","p03","maat-w","R02","n-o"
"185","5","isolation","p03","maat-v","R02","Isolation"
"186","4","7-n","p03","7en-w","R02","h-n"
"187","4","o-n","p03","diin-w","R02","o-n"
"188","3","o-7","p03","zaa7-w","R02","o-h"
"189","2","o-3","p03","djuu3-w","R02","o-<U+0295>"
"190","1","isolation","p03","djuu3-v","R02","Isolation"
"191","5","n-7","p03","nuu7-w","R02","n-h"
"192","2","isolation","p03","nuu7-v","R02","Isolation"
"193","3","3--3","p03","3oo3-w","R02","<U+0295>-<U+0295>"
"194","2","isolation","p03","3oo3-v","R02","Isolation"
"195","3","o-7","p03","loo7-w","R02","o-h"
"196","3","o-3","p03","bii3-w","R02","o-<U+0295>"
"197","2","isolation","p03","bii3-v","R02","Isolation"
"198","2","o-7","p03","zii7-w","R02","o-h"
"199","5","n-n","p03","muun-w","R02","n-n"
"200","5","n-o","p03","muus-w","R02","n-o"
"201","5","n-o","p03","mooz-w","R02","n-o"
"202","4","7-o","p03","7ook-w","R02","h-o"
"203","5","7-n","p03","7oom-w","R02","h-n"
"204","3","3-o","p03","3aaf-w","R02","<U+0295>-o"
"205","4","n-7","p03","naa7-w","R02","n-h"
"206","2","isolation","p03","naa7-v","R02","Isolation"
"207","4","n-n","p03","naam-w","R02","n-n"
"208","2","isolation","p03","naam-v","R02","Isolation"
"209","5","o-n","p03","doom-w","R02","o-n"
"210","2","isolation","p03","doom-v","R02","Isolation"
"211","5","3-n","p03","3oon-w","R02","<U+0295>-n"
"212","5","n-n","p03","noom-w","R02","n-n"
"213","5","3-o","p03","3eeb-w","R02","<U+0295>-o"
"214","2","isolation","p03","3eeb-v","R02","Isolation"
"215","5","3-n","p03","3aam-w","R02","<U+0295>-n"
"216","5","7-o","p03","7aad-w","R02","h-o"
"217","5","3-n","p03","3een-w","R02","<U+0295>-n"
"218","5","3-o","p03","3iish-w","R02","<U+0295>-o"
"219","3","7-o","p03","7eef-w","R02","h-o"
"220","2","isolation","p03","7eef-v","R02","Isolation"
"221","5","o-n","p03","saam-w","R02","o-n"
"222","2","isolation","p03","saam-v","R02","Isolation"
"223","4","o-3","p03","baa3-w","R02","o-<U+0295>"
"224","1","o-o","p03","beet-w","R02","o-o"
"225","3","o-o","p03","boosh-w","R02","o-o"
"226","4","n-3","p06","noo3-w","R02","n-<U+0295>"
"227","2","isolation","p06","noo3-v","R02","Isolation"
"228","2","o-o","p06","daas-w","R02","o-o"
"229","4","n-o","p06","maat-w","R02","n-o"
"230","3","isolation","p06","maat-v","R02","Isolation"
"231","4","7-n","p06","7en-w","R02","h-n"
"232","4","o-n","p06","diin-w","R02","o-n"
"233","4","o-7","p06","zaa7-w","R02","o-h"
"234","3","o-3","p06","djuu3-w","R02","o-<U+0295>"
"235","3","isolation","p06","djuu3-v","R02","Isolation"
"236","4","n-7","p06","nuu7-w","R02","n-h"
"237","3","isolation","p06","nuu7-v","R02","Isolation"
"238","3","3--3","p06","3oo3-w","R02","<U+0295>-<U+0295>"
"239","2","isolation","p06","3oo3-v","R02","Isolation"
"240","2","o-7","p06","loo7-w","R02","o-h"
"241","3","o-3","p06","bii3-w","R02","o-<U+0295>"
"242","2","isolation","p06","bii3-v","R02","Isolation"
"243","3","o-7","p06","zii7-w","R02","o-h"
"244","5","n-n","p06","noom-w","R02","n-n"
"245","5","n-n","p06","muun-w","R02","n-n"
"246","5","n-o","p06","muus-w","R02","n-o"
"247","3","n-o","p06","mooz-w","R02","n-o"
"248","4","7-o","p06","7ook-w","R02","h-o"
"249","4","7-n","p06","7oom-w","R02","h-n"
"250","4","3-o","p06","3aaf-w","R02","<U+0295>-o"
"251","4","n-7","p06","naa7-w","R02","n-h"
"252","3","isolation","p06","naa7-v","R02","Isolation"
"253","4","n-n","p06","naam-w","R02","n-n"
"254","3","isolation","p06","naam-v","R02","Isolation"
"255","4","o-n","p06","doom-w","R02","o-n"
"256","2","isolation","p06","doom-v","R02","Isolation"
"257","4","3-n","p06","3oon-w","R02","<U+0295>-n"
"258","3","3-o","p06","3eeb-w","R02","<U+0295>-o"
"259","2","isolation","p06","3eeb-v","R02","Isolation"
"260","5","3-n","p06","3aam-w","R02","<U+0295>-n"
"261","3","7-o","p06","7aad-w","R02","h-o"
"262","4","3-n","p06","3een-w","R02","<U+0295>-n"
"263","3","3-o","p06","3iish-w","R02","<U+0295>-o"
"264","3","7-o","p06","7eef-w","R02","h-o"
"265","3","isolation","p06","7eef-v","R02","Isolation"
"266","4","o-n","p06","saam-w","R02","o-n"
"267","4","isolation","p06","saam-v","R02","Isolation"
"268","4","o-3","p06","baa3-w","R02","o-<U+0295>"
"269","4","o-o","p06","beet-w","R02","o-o"
"270","3","o-o","p06","boosh-w","R02","o-o"
"271","5","n-3","p07","noo3-w","R02","n-<U+0295>"
"272","3","isolation","p07","noo3-v","R02","Isolation"
"273","4","o-3","p07","djuu3-w","R02","o-<U+0295>"
"274","3","isolation","p07","djuu3-v","R02","Isolation"
"275","4","n-7","p07","nuu7-w","R02","n-h"
"276","4","isolation","p07","nuu7-v","R02","Isolation"
"277","4","3--3","p07","3oo3-w","R02","<U+0295>-<U+0295>"
"278","3","isolation","p07","3oo3-v","R02","Isolation"
"279","3","o-7","p07","loo7-w","R02","o-h"
"280","4","o-3","p07","bii3-w","R02","o-<U+0295>"
"281","4","isolation","p07","bii3-v","R02","Isolation"
"282","2","o-7","p07","zii7-w","R02","o-h"
"283","3","o-o","p07","daas-w","R02","o-o"
"284","4","n-o","p07","maat-w","R02","n-o"
"285","4","isolation","p07","maat-v","R02","Isolation"
"286","4","7-n","p07","7en-w","R02","h-n"
"287","4","o-n","p07","diin-w","R02","o-n"
"288","3","o-7","p07","zaa7-w","R02","o-h"
"289","4","n-7","p07","naa7-w","R02","n-h"
"290","3","isolation","p07","naa7-v","R02","Isolation"
"291","4","n-n","p07","naam-w","R02","n-n"
"292","4","isolation","p07","naam-v","R02","Isolation"
"293","3","o-n","p07","doom-w","R02","o-n"
"294","3","isolation","p07","doom-v","R02","Isolation"
"295","2","3-n","p07","3oon-w","R02","<U+0295>-n"
"296","4","n-n","p07","noom-w","R02","n-n"
"297","4","n-n","p07","muun-w","R02","n-n"
"298","4","n-o","p07","muus-w","R02","n-o"
"299","4","n-o","p07","mooz-w","R02","n-o"
"300","4","7-o","p07","7ook-w","R02","h-o"
"301","5","7-n","p07","7oom-w","R02","h-n"
"302","4","3-o","p07","3aaf-w","R02","<U+0295>-o"
"303","5","3-o","p07","3eeb-w","R02","<U+0295>-o"
"304","4","isolation","p07","3eeb-v","R02","Isolation"
"305","5","o-n","p07","saam-w","R02","o-n"
"306","4","isolation","p07","saam-v","R02","Isolation"
"307","5","3-n","p07","3aam-w","R02","<U+0295>-n"
"308","5","7-o","p07","7aad-w","R02","h-o"
"309","5","3-n","p07","3een-w","R02","<U+0295>-n"
"310","4","3-o","p07","3iish-w","R02","<U+0295>-o"
"311","4","7-o","p07","7eef-w","R02","h-o"
"312","4","isolation","p07","7eef-v","R02","Isolation"
"313","3","o-3","p07","baa3-w","R02","o-<U+0295>"
"314","2","o-o","p07","beet-w","R02","o-o"
"315","4","o-o","p07","boosh-w","R02","o-o"
"316","5","n-3","p08","noo3-w","R02","n-<U+0295>"
"317","2","isolation","p08","noo3-v","R02","Isolation"
"318","4","o-o","p08","daas-w","R02","o-o"
"319","5","n-o","p08","maat-w","R02","n-o"
"320","3","isolation","p08","maat-v","R02","Isolation"
"321","4","7-n","p08","7en-w","R02","h-n"
"322","5","o-n","p08","diin-w","R02","o-n"
"323","5","o-3","p08","djuu3-w","R02","o-<U+0295>"
"324","3","isolation","p08","djuu3-v","R02","Isolation"
"325","4","n-7","p08","nuu7-w","R02","n-h"
"326","2","isolation","p08","nuu7-v","R02","Isolation"
"327","3","3--3","p08","3oo3-w","R02","<U+0295>-<U+0295>"
"328","2","isolation","p08","3oo3-v","R02","Isolation"
"329","2","o-7","p08","loo7-w","R02","o-h"
"330","3","o-3","p08","bii3-w","R02","o-<U+0295>"
"331","2","isolation","p08","bii3-v","R02","Isolation"
"332","4","o-7","p08","zii7-w","R02","o-h"
"333","3","o-7","p08","zaa7-w","R02","o-h"
"334","5","o-n","p08","doom-w","R02","o-n"
"335","3","isolation","p08","doom-v","R02","Isolation"
"336","5","3-n","p08","3oon-w","R02","<U+0295>-n"
"337","5","n-n","p08","noom-w","R02","n-n"
"338","5","n-n","p08","muun-w","R02","n-n"
"339","5","n-o","p08","muus-w","R02","n-o"
"340","5","n-o","p08","mooz-w","R02","n-o"
"341","4","7-o","p08","7ook-w","R02","h-o"
"342","5","7-n","p08","7oom-w","R02","h-n"
"343","3","3-o","p08","3aaf-w","R02","<U+0295>-o"
"344","5","n-7","p08","naa7-w","R02","n-h"
"345","4","isolation","p08","naa7-v","R02","Isolation"
"346","5","n-n","p08","naam-w","R02","n-n"
"347","3","isolation","p08","naam-v","R02","Isolation"
"348","3","3-o","p08","3eeb-w","R02","<U+0295>-o"
"349","3","isolation","p08","3eeb-v","R02","Isolation"
"350","5","o-n","p08","saam-w","R02","o-n"
"351","3","isolation","p08","saam-v","R02","Isolation"
"352","5","3-n","p08","3aam-w","R02","<U+0295>-n"
"353","4","7-o","p08","7aad-w","R02","h-o"
"354","5","3-n","p08","3een-w","R02","<U+0295>-n"
"355","4","3-o","p08","3iish-w","R02","<U+0295>-o"
"356","3","7-o","p08","7eef-w","R02","h-o"
"357","2","isolation","p08","7eef-v","R02","Isolation"
"358","3","o-3","p08","baa3-w","R02","o-<U+0295>"
"359","2","o-o","p08","beet-w","R02","o-o"
"360","3","o-o","p08","boosh-w","R02","o-o"
"361","4","n-3","p09","noo3-w","R02","n-<U+0295>"
"362","3","isolation","p09","noo3-v","R02","Isolation"
"363","3","o-o","p09","daas-w","R02","o-o"
"364","4","n-o","p09","maat-w","R02","n-o"
"365","3","isolation","p09","maat-v","R02","Isolation"
"366","4","7-n","p09","7en-w","R02","h-n"
"367","4","o-n","p09","diin-w","R02","o-n"
"368","3","o-7","p09","zaa7-w","R02","o-h"
"369","2","o-3","p09","djuu3-w","R02","o-<U+0295>"
"370","2","isolation","p09","djuu3-v","R02","Isolation"
"371","3","n-7","p09","nuu7-w","R02","n-h"
"372","2","isolation","p09","nuu7-v","R02","Isolation"
"373","3","3--3","p09","3oo3-w","R02","<U+0295>-<U+0295>"
"374","2","isolation","p09","3oo3-v","R02","Isolation"
"375","2","o-7","p09","loo7-w","R02","o-h"
"376","3","o-3","p09","bii3-w","R02","o-<U+0295>"
"377","2","isolation","p09","bii3-v","R02","Isolation"
"378","2","o-7","p09","zii7-w","R02","o-h"
"379","4","n-n","p09","noom-w","R02","n-n"
"380","4","n-n","p09","muun-w","R02","n-n"
"381","3","n-o","p09","muus-w","R02","n-o"
"382","4","n-o","p09","mooz-w","R02","n-o"
"383","2","7-o","p09","7ook-w","R02","h-o"
"384","4","7-n","p09","7oom-w","R02","h-n"
"385","3","3-o","p09","3aaf-w","R02","<U+0295>-o"
"386","4","n-7","p09","naa7-w","R02","n-h"
"387","2","isolation","p09","naa7-v","R02","Isolation"
"388","4","n-n","p09","naam-w","R02","n-n"
"389","3","isolation","p09","naam-v","R02","Isolation"
"390","4","o-n","p09","doom-w","R02","o-n"
"391","2","isolation","p09","doom-v","R02","Isolation"
"392","4","3-n","p09","3oon-w","R02","<U+0295>-n"
"393","3","3-o","p09","3eeb-w","R02","<U+0295>-o"
"394","2","isolation","p09","3eeb-v","R02","Isolation"
"395","5","o-n","p09","saam-w","R02","o-n"
"396","4","isolation","p09","saam-v","R02","Isolation"
"397","4","3-n","p09","3aam-w","R02","<U+0295>-n"
"398","3","7-o","p09","7aad-w","R02","h-o"
"399","4","3-n","p09","3een-w","R02","<U+0295>-n"
"400","3","3-o","p09","3iish-w","R02","<U+0295>-o"
"401","4","7-o","p09","7eef-w","R02","h-o"
"402","3","isolation","p09","7eef-v","R02","Isolation"
"403","3","o-3","p09","baa3-w","R02","o-<U+0295>"
"404","2","o-o","p09","beet-w","R02","o-o"
"405","4","o-o","p09","boosh-w","R02","o-o"
"406","2","n-3","p04","noo3-w","R01","n-<U+0295>"
"407","4","isolation","p04","noo3-v","R01","Isolation"
"408","2","o-3","p04","djuu3-w","R01","o-<U+0295>"
"409","4","isolation","p04","djuu3-v","R01","Isolation"
"410","3","n-7","p04","nuu7-w","R01","n-h"
"411","3","isolation","p04","nuu7-v","R01","Isolation"
"412","1","3--3","p04","3oo3-w","R01","<U+0295>-<U+0295>"
"413","2","isolation","p04","3oo3-v","R01","Isolation"
"414","2","o-7","p04","loo7-w","R01","o-h"
"415","1","o-3","p04","bii3-w","R01","o-<U+0295>"
"416","2","isolation","p04","bii3-v","R01","Isolation"
"417","2","o-7","p04","zii7-w","R01","o-h"
"418","2","o-o","p04","daas-w","R01","o-o"
"419","5","n-o","p04","maat-w","R01","n-o"
"420","4","isolation","p04","maat-v","R01","Isolation"
"421","1","7-n","p04","7en-w","R01","h-n"
"422","5","o-n","p04","diin-w","R01","o-n"
"423","2","o-7","p04","zaa7-w","R01","o-h"
"424","2","n-7","p04","naa7-w","R01","n-h"
"425","2","isolation","p04","naa7-v","R01","Isolation"
"426","4","n-n","p04","naam-w","R01","n-n"
"427","4","isolation","p04","naam-v","R01","Isolation"
"428","2","o-n","p04","doom-w","R01","o-n"
"429","3","isolation","p04","doom-v","R01","Isolation"
"430","1","3-n","p04","3oon-w","R01","<U+0295>-n"
"431","2","n-n","p04","noom-w","R01","n-n"
"432","2","n-n","p04","muun-w","R01","n-n"
"433","4","n-o","p04","muus-w","R01","n-o"
"434","4","n-o","p04","mooz-w","R01","n-o"
"435","2","7-o","p04","7ook-w","R01","h-o"
"436","5","7-n","p04","7oom-w","R01","h-n"
"437","1","3-o","p04","3aaf-w","R01","<U+0295>-o"
"438","1","3-o","p04","3eeb-w","R01","<U+0295>-o"
"439","5","isolation","p04","3eeb-v","R01","Isolation"
"440","5","3-n","p04","3aam-w","R01","<U+0295>-n"
"441","3","7-o","p04","7aad-w","R01","h-o"
"442","4","3-n","p04","3een-w","R01","<U+0295>-n"
"443","2","3-o","p04","3iish-w","R01","<U+0295>-o"
"444","2","7-o","p04","7eef-w","R01","h-o"
"445","4","isolation","p04","7eef-v","R01","Isolation"
"446","3","o-n","p04","saam-w","R01","o-n"
"447","2","isolation","p04","saam-v","R01","Isolation"
"448","2","o-3","p04","baa3-w","R01","o-<U+0295>"
"449","2","o-o","p04","beet-w","R01","o-o"
"450","2","o-o","p04","boosh-w","R01","o-o"
"451","4","n-3","p01","noo3-w","R01","n-<U+0295>"
"452","2","isolation","p01","noo3-v","R01","Isolation"
"453","1","o-o","p01","daas-w","R01","o-o"
"454","5","n-o","p01","maat-w","R01","n-o"
"455","2","isolation","p01","maat-v","R01","Isolation"
"456","1","7-n","p01","7en-w","R01","h-n"
"457","3","o-n","p01","diin-w","R01","o-n"
"458","2","o-7","p01","zaa7-w","R01","o-h"
"459","3","o-3","p01","djuu3-w","R01","o-<U+0295>"
"460","2","isolation","p01","djuu3-v","R01","Isolation"
"461","4","n-7","p01","nuu7-w","R01","n-h"
"462","2","isolation","p01","nuu7-v","R01","Isolation"
"463","2","3--3","p01","3oo3-w","R01","<U+0295>-<U+0295>"
"464","2","isolation","p01","3oo3-v","R01","Isolation"
"465","1","o-7","p01","loo7-w","R01","o-h"
"466","1","o-3","p01","bii3-w","R01","o-<U+0295>"
"467","2","isolation","p01","bii3-v","R01","Isolation"
"468","2","o-7","p01","zii7-w","R01","o-h"
"469","2","3-n","p01","3oon-w","R01","<U+0295>-n"
"470","4","n-n","p01","noom-w","R01","n-n"
"471","5","n-n","p01","muun-w","R01","n-n"
"472","5","n-o","p01","muus-w","R01","n-o"
"473","5","n-o","p01","mooz-w","R01","n-o"
"474","4","7-o","p01","7ook-w","R01","h-o"
"475","4","7-n","p01","7oom-w","R01","h-n"
"476","2","3-o","p01","3aaf-w","R01","<U+0295>-o"
"477","4","n-7","p01","naa7-w","R01","n-h"
"478","2","isolation","p01","naa7-v","R01","Isolation"
"479","3","n-n","p01","naam-w","R01","n-n"
"480","1","isolation","p01","naam-v","R01","Isolation"
"481","4","o-n","p01","doom-w","R01","o-n"
"482","3","isolation","p01","doom-v","R01","Isolation"
"483","2","3-o","p01","3eeb-w","R01","<U+0295>-o"
"484","2","isolation","p01","3eeb-v","R01","Isolation"
"485","2","3-n","p01","3aam-w","R01","<U+0295>-n"
"486","2","7-o","p01","7aad-w","R01","h-o"
"487","4","3-n","p01","3een-w","R01","<U+0295>-n"
"488","2","3-o","p01","3iish-w","R01","<U+0295>-o"
"489","3","7-o","p01","7eef-w","R01","h-o"
"490","3","isolation","p01","7eef-v","R01","Isolation"
"491","5","o-n","p01","saam-w","R01","o-n"
"492","4","isolation","p01","saam-v","R01","Isolation"
"493","5","o-3","p01","baa3-w","R01","o-<U+0295>"
"494","2","o-o","p01","beet-w","R01","o-o"
"495","1","o-o","p01","boosh-w","R01","o-o"
"496","5","n-3","p05","noo3-w","R01","n-<U+0295>"
"497","4","isolation","p05","noo3-v","R01","Isolation"
"498","2","o-o","p05","daas-w","R01","o-o"
"499","5","n-o","p05","maat-w","R01","n-o"
"500","1","isolation","p05","maat-v","R01","Isolation"
"501","2","7-n","p05","7en-w","R01","h-n"
"502","4","o-n","p05","diin-w","R01","o-n"
"503","2","o-7","p05","zaa7-w","R01","o-h"
"504","3","o-3","p05","djuu3-w","R01","o-<U+0295>"
"505","4","isolation","p05","djuu3-v","R01","Isolation"
"506","5","n-7","p05","nuu7-w","R01","n-h"
"507","2","isolation","p05","nuu7-v","R01","Isolation"
